Year,Close,IBEX change
1995,3024.54,
1996,3734.49,23.47
1997,5327.42,42.65
1998,7958.99,49.4
1999,9878.8,24.12
2000,10835.1,9.68
2001,10116.0,-6.64
2002,8050.4,-20.42
2003,5947.7,-26.12
2004,7929.9,33.33
2005,9223.9,16.32
2006,11104.3,20.39
2007,14553.2,31.06
2008,13229.0,-9.1
2009,8450.4,-36.12
2010,10947.7,29.55
2011,10806.0,-1.29
2012,8509.2,-21.25
2013,8362.3,-1.73
2014,9920.2,18.63
2015,10403.3,4.87
2016,8815.8,-15.26
2017,9315.2,5.66
2018,10451.5,12.2
2019,9056.7,-13.35
2020,9367.9,3.44
2021,7757.5,-17.19
2022,8612.8,11.03
2023,9034.0,4.89
