Year,Salary,CPIES,CPI to Baseline,Real Salary
2002,18.601,72.41,100.0,18.601
2003,19.385,74.29,102.6,18.894
2004,20.045,76.69,105.91,18.926
2005,20.616,79.56,109.87,18.764
2006,21.168,81.68,112.8,18.766
2007,21.989,85.12,117.55,18.706
2008,23.252,86.35,119.25,19.499
2009,24.164,87.03,120.19,20.105
2010,24.786,89.63,123.78,20.024
2011,25.515,91.76,126.72,20.135
2012,25.894,94.39,130.35,19.865
2013,26.027,94.63,130.69,19.915
2020,26.028,97.57,134.75,19.316
2014,26.191,93.65,129.33,20.251
2016,26.449,95.13,131.38,20.132
2015,26.475,93.66,129.35,20.468
2017,26.55,96.19,132.84,19.986
2018,26.922,97.33,134.42,20.028
2019,27.292,98.1,135.48,20.145
2021,27.57,104.0,143.63,19.195
2022,28.36,109.9,151.77,18.686
